staircase.thisRepN,staircase.thisTrialN,staircase.thisN,staircase.thisIndex,image.started,key_resp.started,key_resp.keys,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,11.005659700000251,11.005659700000251,space,0.9237950999959139,146296,001,2023-05-10_15h32.25.414,staircase,2023.1.2,59.91055354161547,
1,0,1,0,11.972063799999887,11.972063799999887,space,1.9563628999967477,146296,001,2023-05-10_15h32.25.414,staircase,2023.1.2,59.91055354161547,
2,0,2,0,13.972050199998193,13.972050199998193,space,1.428379999990284,146296,001,2023-05-10_15h32.25.414,staircase,2023.1.2,59.91055354161547,
3,0,3,0,15.438536900001054,15.438536900001054,space,1.1618902999980492,146296,001,2023-05-10_15h32.25.414,staircase,2023.1.2,59.91055354161547,
4,0,4,0,16.638578600002802,16.638578600002802,space,1.6418726999982027,146296,001,2023-05-10_15h32.25.414,staircase,2023.1.2,59.91055354161547,
