staircase.thisRepN,staircase.thisTrialN,staircase.thisN,staircase.thisIndex,image.started,key_resp.started,key_resp.keys,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,10.040159699994547,10.040159699994547,space,1.355859800001781,300497,001,2023-05-10_15h41.43.052,staircase,2023.1.2,59.969943062564866,
1,0,1,0,11.44011579999642,11.44011579999642,space,1.0838544000071124,300497,001,2023-05-10_15h41.43.052,staircase,2023.1.2,59.969943062564866,
2,0,2,0,12.573119199994835,12.573119199994835,space,0.9913425000049756,300497,001,2023-05-10_15h41.43.052,staircase,2023.1.2,59.969943062564866,
3,0,3,0,13.92312879999372,13.92312879999372,space,1.4875870000032592,300497,001,2023-05-10_15h41.43.052,staircase,2023.1.2,59.969943062564866,
4,0,4,0,15.456439800000226,15.456439800000226,space,1.619285700006003,300497,001,2023-05-10_15h41.43.052,staircase,2023.1.2,59.969943062564866,
