staircase.thisRepN,staircase.thisTrialN,staircase.thisN,staircase.thisIndex,image.started,key_resp.started,key_resp.keys,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,12.4693299999999,12.4693299999999,space,1.2015115000103833,843094,001,2023-05-10_15h30.50.244,staircase,2023.1.2,59.94208395623305,
1,0,1,0,13.719227499997942,13.719227499997942,space,2.190863600000739,843094,001,2023-05-10_15h30.50.244,staircase,2023.1.2,59.94208395623305,
2,0,2,0,15.952344699995592,15.952344699995592,space,2.1896240999994916,843094,001,2023-05-10_15h30.50.244,staircase,2023.1.2,59.94208395623305,
3,0,3,0,18.18580739999743,18.18580739999743,space,1.6441006000022753,843094,001,2023-05-10_15h30.50.244,staircase,2023.1.2,59.94208395623305,
4,0,4,0,19.86901489999582,19.86901489999582,y,1.8015517000094405,843094,001,2023-05-10_15h30.50.244,staircase,2023.1.2,59.94208395623305,
