7.3548 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
7.9317 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000154857CA940>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000154857CA8E0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000154857CA610>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001548BDD34C0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.9317 	EXP 	window1: mouseVisible = True
7.9318 	EXP 	window1: backgroundImage = ''
7.9318 	EXP 	window1: backgroundFit = 'none'
7.9318 	EXP 	window1: mouseVisible = False
7.9318 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
7.9318 	EXP 	window1: recordFrameIntervals = False
8.0981 	EXP 	window1: recordFrameIntervals = True
8.2814 	EXP 	Screen (0) actual frame rate measured at 60.04Hz
8.2814 	EXP 	window1: recordFrameIntervals = False
10.2398 	EXP 	Created image_l = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='image_l', opacity=1.0, ori=0.0, pos=array([-0.33,  0.  ]), size=array([0.5, 0.5]), texRes=128.0, units='height', win=Window(...))
10.2525 	EXP 	Created image_r = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='image_r', opacity=1.0, ori=0.0, pos=array([0.33, 0.  ]), size=array([0.5, 0.5]), texRes=128.0, units='height', win=Window(...))
10.2529 	EXP 	window1: mouseVisible = True
10.2538 	EXP 	Created sequence: random, trialTypes=1, nReps=100, seed=None
10.2542 	EXP 	New trial (rep=0, index=0): None
10.3149 	EXP 	image_l: image = 'stimuli/fractal_left.png'
10.3149 	EXP 	image_r: image = 'stimuli/fractal_right.png'
10.3149 	EXP 	image_l: autoDraw = True
10.3149 	EXP 	image_r: autoDraw = True
11.2817 	DATA 	Mouse: Left button down, pos=(1237,606)
11.2848 	EXP 	New trial (rep=1, index=0): None
11.3315 	EXP 	image_l: autoDraw = False
11.3315 	EXP 	image_r: autoDraw = False
