staircase.thisRepN,staircase.thisTrialN,staircase.thisN,staircase.thisIndex,image.started,key_resp.started,key_resp.keys,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,10.76407659999677,10.76407659999677,space,0.8728133000040543,483149,001,2023-05-10_15h31.27.814,staircase,2023.1.2,59.99876402565381,
1,0,1,0,11.680661999998847,11.680661999998847,space,2.0048948999974527,483149,001,2023-05-10_15h31.27.814,staircase,2023.1.2,59.99876402565381,
2,0,2,0,13.730970799995703,13.730970799995703,space,1.3387752000053297,483149,001,2023-05-10_15h31.27.814,staircase,2023.1.2,59.99876402565381,
3,0,3,0,15.11392099999648,15.11392099999648,space,1.4036463000011281,483149,001,2023-05-10_15h31.27.814,staircase,2023.1.2,59.99876402565381,
4,0,4,0,16.563702999999805,16.563702999999805,space,1.2420089000079315,483149,001,2023-05-10_15h31.27.814,staircase,2023.1.2,59.99876402565381,
