staircase.thisRepN,staircase.thisTrialN,staircase.thisN,staircase.thisIndex,image_l.started,image_r.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.corr,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
24,0,24,0,29.114705699961632,29.114705699961632,0.027716899989172816,[0.2175925925925926],[-0.006481481481481481],[1],[0],[0],[0.9702032000059262],[1],['image_r'],414400,001,2023-05-16_13h48.34.358,staircase,2023.1.1,60.0368746636101,
25,0,25,0,30.114697700017132,30.114697700017132,0.027839599992148578,[-0.28703703703703703],[-0.03518518518518519],[1],[0],[0],[0.887853900087066],[1],['image_l'],414400,001,2023-05-16_13h48.34.358,staircase,2023.1.1,60.0368746636101,
26,0,26,0,31.031354399980046,31.031354399980046,0.02765860001090914,[0.21574074074074073],[0.03888888888888889],[1],[0],[0],[0.8533469999674708],[1],['image_r'],414400,001,2023-05-16_13h48.34.358,staircase,2023.1.1,60.0368746636101,
27,0,27,0,31.91469279990997,31.91469279990997,0.027379099978134036,[-0.15833333333333333],[-0.030555555555555555],[1],[0],[0],[0.770981700043194],[0],['image_l'],414400,001,2023-05-16_13h48.34.358,staircase,2023.1.1,60.0368746636101,
28,0,28,0,32.71468269999605,32.71468269999605,0.028459100052714348,[-0.25555555555555554],[0.008333333333333333],[1],[0],[0],[1.2032580999657512],[1],['image_l'],414400,001,2023-05-16_13h48.34.358,staircase,2023.1.1,60.0368746636101,
29,0,29,0,33.94799549994059,33.94799549994059,0.027548800106160343,[0.1787037037037037],[0.028703703703703703],[1],[0],[0],[1.0208923000609502],[0],['image_r'],414400,001,2023-05-16_13h48.34.358,staircase,2023.1.1,60.0368746636101,
30,0,30,0,34.99800109991338,34.99800109991338,0.027736800024285913,[-0.29444444444444445],[0.019444444444444445],[1],[0],[0],[0.9039539999794215],[0],['image_l'],414400,001,2023-05-16_13h48.34.358,staircase,2023.1.1,60.0368746636101,
31,0,31,0,35.93133139994461,35.93133139994461,0.027515399968251586,[0.21666666666666667],[0.03148148148148148],[1],[0],[0],[0.8376482999883592],[0],['image_r'],414400,001,2023-05-16_13h48.34.358,staircase,2023.1.1,60.0368746636101,
32,0,32,0,36.7979914000025,36.7979914000025,0.028241400024853647,[-0.20277777777777778],[0.008333333333333333],[1],[0],[0],[0.7366560000227764],[0],['image_l'],414400,001,2023-05-16_13h48.34.358,staircase,2023.1.1,60.0368746636101,
33,0,33,0,37.56466539995745,37.56466539995745,0.027380499988794327,[0.25925925925925924],[0.028703703703703703],[1],[0],[0],[0.804448900045827],[0],['image_r'],414400,001,2023-05-16_13h48.34.358,staircase,2023.1.1,60.0368746636101,
34,0,34,0,38.39797269995324,38.39797269995324,0.028280299971811473,[-0.40370370370370373],[0.003703703703703704],[1],[0],[0],[0.5365173999452963],[1],['image_l'],414400,001,2023-05-16_13h48.34.358,staircase,2023.1.1,60.0368746636101,
,,,,38.96466329996474,38.96466329996474,0.02725539996754378,,,,,,,,,,,,,,,
