staircase.thisRepN,staircase.thisTrialN,staircase.thisN,staircase.thisIndex,image_l.started,image_r.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.corr,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,10.314913999987766,10.314913999987766,0.04025419999379665,[0.2564814814814815],[0.06111111111111111],[1],[0],[0],[0.9891961999237537],[0],['image_r'],414400,001,2023-05-16_13h48.34.358,staircase,2023.1.1,60.0368746636101,
1,0,1,0,11.331496099941432,11.331496099941432,0.028703900054097176,[-0.29259259259259257],[0.05648148148148148],[1],[0],[0],[0.6687328999396414],[0],['image_l'],414400,001,2023-05-16_13h48.34.358,staircase,2023.1.1,60.0368746636101,
2,0,2,0,12.031481899903156,12.031481899903156,0.028114499989897013,[-0.19074074074074074],[0.05648148148148148],[1],[0],[0],[0.703504600096494],[0],['image_l'],414400,001,2023-05-16_13h48.34.358,staircase,2023.1.1,60.0368746636101,
3,0,3,0,12.764813699992374,12.764813699992374,0.02815769996959716,[-0.19166666666666668],[0.05648148148148148],[1],[0],[0],[0.6369411998894066],[0],['image_l'],414400,001,2023-05-16_13h48.34.358,staircase,2023.1.1,60.0368746636101,
4,0,4,0,13.431472499971278,13.431472499971278,0.028527799993753433,[0.13518518518518519],[0.11296296296296296],[1],[0],[0],[1.0532053000060841],[0],['image_r'],414400,001,2023-05-16_13h48.34.358,staircase,2023.1.1,60.0368746636101,
5,0,5,0,14.514802099904045,14.514802099904045,0.02853600005619228,[0.13518518518518519],[0.11296296296296296],[1],[0],[0],[0.6698585000121966],[0],['image_r'],414400,001,2023-05-16_13h48.34.358,staircase,2023.1.1,60.0368746636101,
6,0,6,0,15.21480899991002,15.21480899991002,0.027887400006875396,[-0.15925925925925927],[0.024074074074074074],[1],[0],[0],[0.8038672999246046],[0],['image_l'],414400,001,2023-05-16_13h48.34.358,staircase,2023.1.1,60.0368746636101,
7,0,7,0,16.048157199984416,16.048157199984416,0.02882340003270656,[-0.16666666666666666],[0.027777777777777776],[1],[0],[0],[0.753013200010173],[0],['image_l'],414400,001,2023-05-16_13h48.34.358,staircase,2023.1.1,60.0368746636101,
8,0,8,0,16.83145489997696,16.83145489997696,0.03049299994017929,[0.18981481481481483],[0.007407407407407408],[1],[0],[0],[0.4674880999373272],[0],['image_r'],414400,001,2023-05-16_13h48.34.358,staircase,2023.1.1,60.0368746636101,
9,0,9,0,17.331441799993627,17.331441799993627,0.028641299926675856,[0.24259259259259258],[0.03333333333333333],[1],[0],[0],[0.769699199940078],[0],['image_r'],414400,001,2023-05-16_13h48.34.358,staircase,2023.1.1,60.0368746636101,
10,0,10,0,18.131444299942814,18.131444299942814,0.028360500000417233,[0.2898148148148148],[0.07685185185185185],[1],[0],[0],[0.7202971000224352],[0],['image_r'],414400,001,2023-05-16_13h48.34.358,staircase,2023.1.1,60.0368746636101,
11,0,11,0,18.881428699940443,18.881428699940443,0.029916500090621412,[-0.35462962962962963],[-0.058333333333333334],[1],[0],[0],[0.48478140006773174],[0],['image_l'],414400,001,2023-05-16_13h48.34.358,staircase,2023.1.1,60.0368746636101,
12,0,12,0,19.398144399980083,19.398144399980083,0.0365367999766022,[0.275],[0.012962962962962963],[1],[0],[0],[0.4783631000900641],[0],['image_r'],414400,001,2023-05-16_13h48.34.358,staircase,2023.1.1,60.0368746636101,
13,0,13,0,19.914774199947715,19.914774199947715,0.028081899974495173,[0.3768518518518518],[0.022222222222222223],[1],[0],[0],[0.886847700108774],[0],['image_r'],414400,001,2023-05-16_13h48.34.358,staircase,2023.1.1,60.0368746636101,
14,0,14,0,20.83144939993508,20.83144939993508,0.029077499988488853,[-0.23333333333333334],[-0.07777777777777778],[1],[0],[0],[0.4692544999998063],[0],['image_l'],414400,001,2023-05-16_13h48.34.358,staircase,2023.1.1,60.0368746636101,
15,0,15,0,21.331462499918416,21.331462499918416,0.031171799986623228,[0.29814814814814816],[0.019444444444444445],[1],[0],[0],[0.4343963999999687],[0],['image_r'],414400,001,2023-05-16_13h48.34.358,staircase,2023.1.1,60.0368746636101,
16,0,16,0,21.798094299971126,21.798094299971126,0.028565699933096766,[-0.26296296296296295],[-0.026851851851851852],[1],[0],[0],[0.5525235999375582],[0],['image_l'],414400,001,2023-05-16_13h48.34.358,staircase,2023.1.1,60.0368746636101,
17,0,17,0,22.38142989994958,22.38142989994958,0.03047060000244528,[0.21388888888888888],[0.049074074074074076],[1],[0],[0],[0.5343400000128895],[0],['image_r'],414400,001,2023-05-16_13h48.34.358,staircase,2023.1.1,60.0368746636101,
18,0,18,0,22.948079800000414,22.948079800000414,0.027683000080287457,[-0.3148148148148148],[-0.030555555555555555],[1],[0],[0],[0.7208662000484765],[0],['image_l'],414400,001,2023-05-16_13h48.34.358,staircase,2023.1.1,60.0368746636101,
19,0,19,0,23.69808749994263,23.69808749994263,0.027277100016362965,[-0.30092592592592593],[-0.03981481481481482],[1],[0],[0],[1.205167100066319],[1],['image_l'],414400,001,2023-05-16_13h48.34.358,staircase,2023.1.1,60.0368746636101,
20,0,20,0,24.9314048999222,24.9314048999222,0.027815000037662685,[0.21666666666666667],[0.030555555555555555],[1],[0],[0],[0.7698266000952572],[0],['image_r'],414400,001,2023-05-16_13h48.34.358,staircase,2023.1.1,60.0368746636101,
21,0,21,0,25.73141519993078,25.73141519993078,0.02789420005865395,[-0.2898148148148148],[-0.02962962962962963],[1],[0],[0],[1.0205016999971122],[1],['image_l'],414400,001,2023-05-16_13h48.34.358,staircase,2023.1.1,60.0368746636101,
22,0,22,0,26.781406799913384,26.781406799913384,0.02821689995471388,[0.2101851851851852],[0.03148148148148148],[1],[0],[0],[1.1537449000170454],[1],['image_r'],414400,001,2023-05-16_13h48.34.358,staircase,2023.1.1,60.0368746636101,
23,0,23,0,27.964700900018215,27.964700900018215,0.027882499969564378,[-0.18981481481481483],[-0.026851851851851852],[1],[0],[0],[1.1204009999055415],[0],['image_l'],414400,001,2023-05-16_13h48.34.358,staircase,2023.1.1,60.0368746636101,
