staircase.thisRepN,staircase.thisTrialN,staircase.thisN,staircase.thisIndex,image.started,key_resp.started,text.started,text.stopped,key_resp.keys,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,10.816772400001355,10.816772400001355,10.816772400001355,11.816740800000844,space,1.7084474000002956,813916,001,2023-05-10_15h33.34.412,staircase,2023.1.2,59.99271688283974,
1,0,1,0,12.566658099996857,12.566658099996857,12.566658099996857,13.5665577999971,space,1.7746732000014163,813916,001,2023-05-10_15h33.34.412,staircase,2023.1.2,59.99271688283974,
2,0,2,0,14.383573499995691,14.383573499995691,14.383573499995691,15.383173999995051,space,2.8614858000000822,813916,001,2023-05-10_15h33.34.412,staircase,2023.1.2,59.99271688283974,
3,0,3,0,17.283233399997698,17.283233399997698,17.283233399997698,18.283156699995743,space,1.5858169999992242,813916,001,2023-05-10_15h33.34.412,staircase,2023.1.2,59.99271688283974,
4,0,4,0,18.9164965999953,18.9164965999953,18.9164965999953,19.91629549999925,space,0.9761826000030851,813916,001,2023-05-10_15h33.34.412,staircase,2023.1.2,59.99271688283974,
