6.1747 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
6.7388 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000014DB0BC9760>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000014DB0BC9700>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000014DB0BC9430>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000014DB761A2B0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.7389 	EXP 	window1: mouseVisible = True
6.7389 	EXP 	window1: backgroundImage = ''
6.7389 	EXP 	window1: backgroundFit = 'none'
6.7390 	EXP 	window1: mouseVisible = False
6.7390 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
6.7390 	EXP 	window1: recordFrameIntervals = False
6.9051 	EXP 	window1: recordFrameIntervals = True
7.0885 	EXP 	Screen (0) actual frame rate measured at 60.03Hz
7.0885 	EXP 	window1: recordFrameIntervals = False
9.0271 	EXP 	Created image_l = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='image_l', opacity=1.0, ori=0.0, pos=array([-0.33,  0.  ]), size=array([0.5, 0.5]), texRes=128.0, units='height', win=Window(...))
9.0391 	EXP 	Created image_r = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='image_r', opacity=1.0, ori=0.0, pos=array([0.33, 0.  ]), size=array([0.5, 0.5]), texRes=128.0, units='height', win=Window(...))
9.0395 	EXP 	window1: mouseVisible = True
9.0403 	EXP 	Created sequence: random, trialTypes=1, nReps=100, seed=None
9.0407 	EXP 	New trial (rep=0, index=0): None
9.0884 	EXP 	image_l: image = 'stimuli/fractal_left.png'
9.0884 	EXP 	image_r: image = 'stimuli/fractal_right.png'
9.0884 	EXP 	image_l: autoDraw = True
9.0884 	EXP 	image_r: autoDraw = True
10.2886 	DATA 	Mouse: Left button down, pos=(1264,625)
10.2917 	EXP 	New trial (rep=1, index=0): None
10.3384 	EXP 	image_l: autoDraw = False
10.3384 	EXP 	image_r: autoDraw = False
10.3384 	EXP 	image_l: image = 'stimuli/fractal_left.png'
10.3384 	EXP 	image_r: image = 'stimuli/fractal_right.png'
10.3384 	EXP 	image_l: autoDraw = True
10.3384 	EXP 	image_r: autoDraw = True
10.4053 	DATA 	Mouse:  Left button up, pos=(1264,625)
11.5558 	DATA 	Mouse: Left button down, pos=(1264,625)
11.5738 	EXP 	New trial (rep=2, index=0): None
11.6217 	EXP 	image_l: autoDraw = False
11.6217 	EXP 	image_r: autoDraw = False
11.6217 	EXP 	image_l: image = 'stimuli/fractal_left.png'
11.6217 	EXP 	image_r: image = 'stimuli/fractal_right.png'
11.6217 	EXP 	image_l: autoDraw = True
11.6217 	EXP 	image_r: autoDraw = True
11.6553 	DATA 	Mouse:  Left button up, pos=(1264,625)
12.5553 	DATA 	Mouse: Left button down, pos=(690,594)
12.5574 	EXP 	New trial (rep=3, index=0): None
12.6051 	EXP 	image_l: autoDraw = False
12.6051 	EXP 	image_r: autoDraw = False
12.6051 	EXP 	image_l: image = 'stimuli/fractal_left.png'
12.6051 	EXP 	image_r: image = 'stimuli/fractal_right.png'
12.6051 	EXP 	image_l: autoDraw = True
12.6051 	EXP 	image_r: autoDraw = True
12.6385 	DATA 	Mouse:  Left button up, pos=(690,594)
13.3220 	DATA 	Mouse: Left button down, pos=(1207,583)
13.3240 	EXP 	New trial (rep=4, index=0): None
13.3717 	EXP 	image_l: autoDraw = False
13.3717 	EXP 	image_r: autoDraw = False
13.3717 	EXP 	image_l: image = 'stimuli/fractal_left.png'
13.3717 	EXP 	image_r: image = 'stimuli/fractal_right.png'
13.3717 	EXP 	image_l: autoDraw = True
13.3717 	EXP 	image_r: autoDraw = True
13.4219 	DATA 	Mouse:  Left button up, pos=(1207,583)
14.1053 	DATA 	Mouse: Left button down, pos=(715,530)
14.1074 	EXP 	New trial (rep=5, index=0): None
14.1551 	EXP 	image_l: autoDraw = False
14.1551 	EXP 	image_r: autoDraw = False
14.1551 	EXP 	image_l: image = 'stimuli/fractal_left.png'
14.1551 	EXP 	image_r: image = 'stimuli/fractal_right.png'
14.1551 	EXP 	image_l: autoDraw = True
14.1551 	EXP 	image_r: autoDraw = True
