staircase.thisRepN,staircase.thisTrialN,staircase.thisN,staircase.thisIndex,image.started,key_resp.started,key_resp.keys,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,10.712196599997696,10.712196599997696,space,0.9623539000094752,426980,001,2023-05-10_15h41.15.467,staircase,2023.1.2,60.030351345257785,
1,0,1,0,11.711574299995846,11.711574299995846,space,0.6369179000030272,426980,001,2023-05-10_15h41.15.467,staircase,2023.1.2,60.030351345257785,
2,0,2,0,12.395022699995025,12.395022699995025,space,0.9436902000088594,426980,001,2023-05-10_15h41.15.467,staircase,2023.1.2,60.030351345257785,
3,0,3,0,13.378280999997514,13.378280999997514,space,2.2244989000028,426980,001,2023-05-10_15h41.15.467,staircase,2023.1.2,60.030351345257785,
4,0,4,0,15.644818199994916,15.644818199994916,space,1.4699032000062289,426980,001,2023-05-10_15h41.15.467,staircase,2023.1.2,60.030351345257785,
