28.8352 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
29.7916 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000200748C89A0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000200748C8940>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000200748C8670>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000002007B21C520>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
29.7917 	EXP 	window1: mouseVisible = True
29.7917 	EXP 	window1: backgroundImage = ''
29.7917 	EXP 	window1: backgroundFit = 'none'
29.7918 	EXP 	window1: mouseVisible = False
29.7918 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
29.7918 	EXP 	window1: recordFrameIntervals = False
29.9580 	EXP 	window1: recordFrameIntervals = True
30.1415 	EXP 	Screen (0) actual frame rate measured at 59.99Hz
30.1415 	EXP 	window1: recordFrameIntervals = False
32.1423 	EXP 	Created image_l = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='image_l', opacity=1.0, ori=0.0, pos=array([-0.33,  0.  ]), size=array([0.5, 0.5]), texRes=128.0, units='height', win=Window(...))
32.1556 	EXP 	Created image_r = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='image_r', opacity=1.0, ori=0.0, pos=array([0.33, 0.  ]), size=array([0.5, 0.5]), texRes=128.0, units='height', win=Window(...))
32.1558 	EXP 	window1: mouseVisible = True
32.1568 	EXP 	Created sequence: random, trialTypes=1, nReps=100, seed=None
32.1571 	EXP 	New trial (rep=0, index=0): None
32.2080 	EXP 	image_l: image = 'stimuli/fractal_left.png'
32.2080 	EXP 	image_r: image = 'stimuli/fractal_right.png'
32.2080 	EXP 	image_l: autoDraw = True
32.2080 	EXP 	image_r: autoDraw = True
34.3582 	DATA 	Mouse: Left button down, pos=(792,661)
34.3610 	EXP 	New trial (rep=1, index=0): None
34.4080 	EXP 	image_l: autoDraw = False
34.4080 	EXP 	image_r: autoDraw = False
34.4080 	EXP 	image_l: image = 'stimuli/fractal_left.png'
34.4080 	EXP 	image_r: image = 'stimuli/fractal_right.png'
34.4080 	EXP 	image_l: autoDraw = True
34.4080 	EXP 	image_r: autoDraw = True
34.4248 	DATA 	Mouse:  Left button up, pos=(792,661)
