7.1577 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
7.9839 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000021DEE311D60>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000021DEE311D00>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000021DEE311A00>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000021DF4C09910>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.9840 	EXP 	window1: mouseVisible = True
7.9840 	EXP 	window1: backgroundImage = ''
7.9840 	EXP 	window1: backgroundFit = 'none'
7.9841 	EXP 	window1: mouseVisible = False
7.9841 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
7.9841 	EXP 	window1: recordFrameIntervals = False
8.1503 	EXP 	window1: recordFrameIntervals = True
8.3337 	EXP 	Screen (0) actual frame rate measured at 59.99Hz
8.3338 	EXP 	window1: recordFrameIntervals = False
10.4264 	EXP 	Created image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='stimuli/fractal_left.png', interpolate=True, mask=None, maskParams=None, name='image', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), texRes=128.0, units='height', win=Window(...))
10.6237 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0.5, 0.5]), rgb=UNKNOWN, text='4', units='height', win=Window(...), wrapWidth=1)
10.6241 	EXP 	Created sequence: random, trialTypes=1, nReps=5, seed=None
10.6243 	EXP 	New trial (rep=0, index=0): None
10.8168 	EXP 	image: autoDraw = True
10.8168 	EXP 	text: autoDraw = True
11.8167 	EXP 	text: autoDraw = False
12.5347 	EXP 	New trial (rep=1, index=0): None
12.5505 	DATA 	Keypress: space
12.5667 	EXP 	image: autoDraw = False
12.5667 	EXP 	text: autoDraw = False
12.5667 	EXP 	image: autoDraw = True
12.5667 	EXP 	text: autoDraw = True
13.5666 	EXP 	text: autoDraw = False
14.3512 	EXP 	New trial (rep=2, index=0): None
14.3661 	DATA 	Keypress: space
14.3836 	EXP 	image: autoDraw = False
14.3836 	EXP 	text: autoDraw = False
14.3836 	EXP 	image: autoDraw = True
14.3836 	EXP 	text: autoDraw = True
15.3832 	EXP 	text: autoDraw = False
17.2510 	EXP 	New trial (rep=3, index=0): None
17.2661 	DATA 	Keypress: space
17.2832 	EXP 	image: autoDraw = False
17.2832 	EXP 	text: autoDraw = False
17.2832 	EXP 	image: autoDraw = True
17.2832 	EXP 	text: autoDraw = True
18.2832 	EXP 	text: autoDraw = False
18.8842 	EXP 	New trial (rep=4, index=0): None
18.8990 	DATA 	Keypress: space
18.9165 	EXP 	image: autoDraw = False
18.9165 	EXP 	text: autoDraw = False
18.9165 	EXP 	image: autoDraw = True
18.9165 	EXP 	text: autoDraw = True
19.9013 	DATA 	Keypress: space
19.9163 	EXP 	text: autoDraw = False
19.9163 	EXP 	image: autoDraw = False
19.9163 	EXP 	text: autoDraw = False
19.9897 	EXP 	window1: mouseVisible = True
