staircase.thisRepN,staircase.thisTrialN,staircase.thisN,staircase.thisIndex,image_l.started,image_r.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.corr,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,32.208008399931714,32.208008399931714,0.039390399935655296,[-0.15555555555555556],[0.11203703703703703],[1],[0],[0],[2.163280999986455],[0],['image_l'],509455,001,2023-05-16_13h23.10.639,staircase,2023.1.1,59.994876426477134,
1,0,1,0,34.40798279992305,34.40798279992305,0.030441500013694167,[0.17314814814814813],[-0.025925925925925925],[1],[0],[0],[1.776236500008963],[0],['image_r'],509455,001,2023-05-16_13h23.10.639,staircase,2023.1.1,59.994876426477134,
2,0,2,0,36.22466039995197,36.22466039995197,0.03912219998892397,[-0.34074074074074073],[0.012962962962962963],[1],[0],[0],[0.41624779999256134],[0],['image_l'],509455,001,2023-05-16_13h23.10.639,staircase,2023.1.1,59.994876426477134,
3,0,3,0,36.674643499893136,36.674643499893136,0.03564160002861172,[0.18425925925925926],[0.007407407407407408],[1],[0],[0],[0.7809226999524981],[0],['image_r'],509455,001,2023-05-16_13h23.10.639,staircase,2023.1.1,59.994876426477134,
4,0,4,0,37.49163039994892,37.49163039994892,0.02974479994736612,[-0.25833333333333336],[0.010185185185185186],[1],[0],[0],[0.6836843999335542],[0],['image_l'],509455,001,2023-05-16_13h23.10.639,staircase,2023.1.1,59.994876426477134,
5,0,5,0,38.20802869996987,38.20802869996987,0.029412099975161254,[-0.25833333333333336],[0.010185185185185186],[1],[0],[0],[0.6855167999165133],[0],['image_l'],509455,001,2023-05-16_13h23.10.639,staircase,2023.1.1,59.994876426477134,
6,0,6,0,38.92467339988798,38.92467339988798,0.0286574000492692,[0.41388888888888886],[0.025],[1],[0],[0],[1.1862441999837756],[0],['image_r'],509455,001,2023-05-16_13h23.10.639,staircase,2023.1.1,59.994876426477134,
7,0,7,0,40.14129969989881,40.14129969989881,0.031610799953341484,[0.3175925925925926],[0.05092592592592592],[1],[0],[0],[0.7000015000812709],[0],['image_r'],509455,001,2023-05-16_13h23.10.639,staircase,2023.1.1,59.994876426477134,
8,0,8,0,40.874606899917126,40.874606899917126,0.027769400039687753,[-0.2861111111111111],[-0.018518518518518517],[1],[0],[0],[0.587418399984017],[0],['image_l'],509455,001,2023-05-16_13h23.10.639,staircase,2023.1.1,59.994876426477134,
9,0,9,0,41.49125249998178,41.49125249998178,0.03821639996021986,[0.21296296296296297],[0.012037037037037037],[1],[0],[0],[1.0935080000199378],[0],['image_r'],509455,001,2023-05-16_13h23.10.639,staircase,2023.1.1,59.994876426477134,
