7.4879 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
8.3278 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001943BEECCA0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001943BEECC40>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001943BEEC970>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001943D02B8B0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
8.3279 	EXP 	window1: mouseVisible = True
8.3279 	EXP 	window1: backgroundImage = ''
8.3279 	EXP 	window1: backgroundFit = 'none'
8.3280 	EXP 	window1: mouseVisible = False
8.3280 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
8.3280 	EXP 	window1: recordFrameIntervals = False
8.4937 	EXP 	window1: recordFrameIntervals = True
8.6773 	EXP 	Screen (0) actual frame rate measured at 59.96Hz
8.6773 	EXP 	window1: recordFrameIntervals = False
10.6401 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='4', units='height', win=Window(...), wrapWidth=1)
10.6426 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='4', units='height', win=Window(...), wrapWidth=1)
10.6430 	EXP 	Created sequence: random, trialTypes=1, nReps=5, seed=None
10.6432 	EXP 	New trial (rep=0, index=0): None
10.6769 	EXP 	text: autoDraw = True
11.8965 	DATA 	Keypress: space
11.9101 	EXP 	text: autoDraw = False
11.9101 	EXP 	text_2: autoDraw = True
12.8942 	EXP 	New trial (rep=1, index=0): None
12.9269 	EXP 	text_2: autoDraw = False
12.9269 	EXP 	text_2: autoDraw = False
12.9269 	EXP 	text: autoDraw = True
13.1956 	DATA 	Keypress: space
13.2101 	EXP 	text: autoDraw = False
13.2101 	EXP 	text_2: autoDraw = True
14.1446 	DATA 	Keypress: space
14.1940 	EXP 	New trial (rep=2, index=0): None
14.2268 	EXP 	text_2: autoDraw = False
14.2268 	EXP 	text_2: autoDraw = False
14.2268 	EXP 	text: autoDraw = True
15.1951 	DATA 	Keypress: space
15.2101 	EXP 	text: autoDraw = False
15.2101 	EXP 	text_2: autoDraw = True
16.1614 	DATA 	Keypress: space
16.1939 	EXP 	New trial (rep=3, index=0): None
16.2268 	EXP 	text_2: autoDraw = False
16.2268 	EXP 	text_2: autoDraw = False
16.2268 	EXP 	text: autoDraw = True
17.1118 	DATA 	Keypress: space
17.1266 	EXP 	text: autoDraw = False
17.1266 	EXP 	text_2: autoDraw = True
18.1105 	EXP 	New trial (rep=4, index=0): None
18.1434 	EXP 	text_2: autoDraw = False
18.1434 	EXP 	text_2: autoDraw = False
18.1434 	EXP 	text: autoDraw = True
18.1617 	DATA 	Keypress: space
18.1766 	EXP 	text: autoDraw = False
18.1766 	EXP 	text_2: autoDraw = True
19.1766 	EXP 	text_2: autoDraw = False
19.1766 	EXP 	text_2: autoDraw = False
19.2511 	EXP 	window1: mouseVisible = True
